country,period,extreme_temp_total_affected,extreme_temp_total_deaths,drought_total_affected,drought_total_deaths,flood_total_affected,flood_total_deaths,storm_total_affected,storm_total_deaths
Afghanistan,1955,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0
Afghanistan,1960,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0
Afghanistan,1965,0.0,0.0,48000.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,1970,0.0,0.0,0.0,0.0,250000.0,150.0,0.0,0.0
Afghanistan,1975,0.0,0.0,0.0,0.0,351684.0,171.0,0.0,0.0
Afghanistan,1980,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0
Afghanistan,1985,0.0,0.0,0.0,0.0,161000.0,0.0,0.0,0.0
Afghanistan,1990,200.0,224.0,0.0,0.0,143400.0,1793.0,0.0,10.0
Afghanistan,1995,0.0,0.0,0.0,0.0,38905.0,197.0,0.0,0.0
Afghanistan,2000,200000.0,327.0,2580000.0,37.0,13798.0,233.0,0.0,0.0
Afghanistan,2005,170684.0,1338.0,2180000.0,0.0,145244.0,930.0,22656.0,331.0
Afghanistan,2010,68.0,45.0,1750000.0,0.0,268112.0,971.0,5.0,84.0
Afghanistan,2015,0.0,0.0,13500000.0,0.0,139774.0,399.0,9055.0,67.0
Afghanistan,2020,327422.0,1363.0,11000000.0,0.0,785949.0,1603.0,7481.0,13.0
Afghanistan,2025,0.0,0.0,0.0,0.0,44.0,39.0,0.0,0.0
Africa,1900,0.0,0.0,0.0,11000.0,0.0,0.0,0.0,0.0
Africa,1905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,1910,0.0,0.0,32000.0,85000.0,0.0,0.0,0.0,0.0
Africa,1920,0.0,0.0,0.0,24000.0,0.0,0.0,0.0,0.0
Africa,1925,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0
Africa,1940,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0
Africa,1945,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,165.0
Africa,1950,0.0,0.0,0.0,0.0,0.0,186.0,0.0,535.0
Africa,1955,0.0,0.0,0.0,0.0,0.0,51.0,0.0,107.0
Africa,1960,0.0,0.0,705000.0,50.0,130310.0,534.0,0.0,42.0
Africa,1965,0.0,0.0,4637277.0,2000.0,738731.0,809.0,141579.0,110.0
Africa,1970,0.0,0.0,4927357.0,22096.0,2974684.0,705.0,2545072.0,163.0
Africa,1975,0.0,0.0,13658802.0,96904.0,1624842.0,623.0,1628592.0,252.0
Africa,1980,0.0,0.0,46786718.0,478159.0,1467719.0,460.0,1863950.0,696.0
Africa,1985,0.0,0.0,32703082.0,76668.0,5879333.0,1190.0,258444.0,384.0
Africa,1990,1000000.0,18.0,46289858.0,127.0,4296634.0,2054.0,3324048.0,556.0
Africa,1995,0.0,84.0,13864956.0,33.0,10061635.0,5263.0,1049818.0,574.0
Africa,2000,105.0,103.0,85631529.0,941.0,11822316.0,3900.0,3043450.0,858.0
Africa,2005,0.0,22.0,57546932.0,153.0,11430239.0,3945.0,1411244.0,402.0
Africa,2010,7500.0,0.0,65891611.0,20000.0,18498488.0,3430.0,1131537.0,763.0
Africa,2015,2720111.0,145.0,68516205.0,0.0,13583443.0,3806.0,6666992.0,2147.0
Africa,2020,0.0,21.0,197828349.0,2465.0,42165135.0,10725.0,9987659.0,15448.0
Africa,2025,0.0,0.0,3953759.0,27.0,870302.0,880.0,800648.0,54.0
Albania,1945,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
Albania,1980,0.0,0.0,0.0,0.0,11000.0,9.0,0.0,0.0
Albania,1985,7085.0,68.0,1066666.0,0.0,0.0,0.0,0.0,0.0
Albania,1990,0.0,0.0,2133334.0,0.0,35000.0,11.0,0.0,0.0
Albania,1995,0.0,0.0,0.0,0.0,9500.0,4.0,0.0,0.0
Albania,2000,0.0,3.0,0.0,0.0,69384.0,1.0,125000.0,6.0
Albania,2005,150.0,0.0,0.0,0.0,4460.0,3.0,400000.0,2.0
Albania,2010,230000.0,5.0,0.0,0.0,19440.0,0.0,0.0,0.0
Albania,2015,0.0,6.0,0.0,0.0,69442.0,4.0,0.0,0.0
Albania,2020,0.0,715.0,0.0,0.0,84.0,0.0,0.0,0.0
Algeria,1925,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0
Algeria,1950,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0
Algeria,1960,0.0,0.0,0.0,0.0,45400.0,0.0,0.0,0.0
Algeria,1965,0.0,0.0,0.0,0.0,266149.0,153.0,0.0,0.0
Algeria,1970,0.0,0.0,0.0,0.0,166000.0,32.0,0.0,0.0
Algeria,1975,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0
Algeria,1980,0.0,0.0,0.0,0.0,10034.0,134.0,0.0,0.0
Algeria,1985,0.0,0.0,0.0,0.0,15000.0,26.0,10107.0,0.0
Algeria,1990,0.0,0.0,0.0,0.0,33474.0,83.0,0.0,0.0
Algeria,1995,0.0,0.0,0.0,0.0,3803.0,20.0,0.0,0.0
Algeria,2000,0.0,40.0,0.0,0.0,75443.0,1054.0,0.0,13.0
Algeria,2005,0.0,0.0,0.0,0.0,124723.0,236.0,5.0,10.0
Algeria,2010,0.0,0.0,0.0,0.0,894.0,79.0,0.0,0.0
Algeria,2015,250025.0,8.0,0.0,0.0,35200.0,18.0,0.0,0.0
Algeria,2020,0.0,0.0,0.0,0.0,16588.0,26.0,0.0,0.0
Algeria,2025,0.0,0.0,0.0,0.0,100.0,6.0,0.0,0.0
American Samoa,1965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
American Samoa,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
American Samoa,2000,0.0,0.0,0.0,0.0,3.0,6.0,23060.0,0.0
American Samoa,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,1980,0.0,0.0,80000.0,0.0,0.0,0.0,0.0,0.0
Angola,1985,0.0,0.0,974674.0,0.0,100000.0,0.0,0.0,0.0
Angola,1990,0.0,0.0,1425326.0,0.0,0.0,0.0,0.0,0.0
Angola,1995,0.0,0.0,105000.0,0.0,0.0,0.0,0.0,0.0
Angola,2000,0.0,0.0,6262.0,58.0,453464.0,137.0,0.0,0.0
Angola,2005,0.0,0.0,18738.0,0.0,362690.0,174.0,0.0,0.0
Angola,2010,0.0,0.0,1833900.0,0.0,281465.0,164.0,0.0,0.0
Angola,2015,0.0,0.0,1420000.0,0.0,64314.0,276.0,0.0,0.0
Angola,2020,0.0,0.0,4443316.0,0.0,191617.0,141.0,0.0,0.0
Anguilla,1915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,1920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,1955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,1960,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,5.0
Anguilla,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,1995,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0
Anguilla,2015,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,4.0
Antigua and Barbuda,1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Antigua and Barbuda,1960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Antigua and Barbuda,1965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,1980,0.0,0.0,75000.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,1985,0.0,0.0,0.0,0.0,0.0,0.0,8030.0,2.0
Antigua and Barbuda,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,1995,0.0,0.0,0.0,0.0,0.0,0.0,11684.0,6.0
Antigua and Barbuda,2005,0.0,0.0,0.0,0.0,0.0,0.0,25800.0,0.0
Antigua and Barbuda,2010,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0
Antigua and Barbuda,2015,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,1.0
Argentina,1955,0.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0
Argentina,1965,0.0,0.0,0.0,0.0,332000.0,118.0,0.0,0.0
Argentina,1970,0.0,100.0,0.0,0.0,0.0,36.0,100300.0,160.0
Argentina,1975,0.0,0.0,0.0,0.0,24100.0,0.0,100.0,25.0
Argentina,1980,0.0,0.0,0.0,0.0,6170000.0,41.0,0.0,0.0
Argentina,1985,0.0,0.0,0.0,0.0,6022000.0,65.0,2000.0,2.0
Argentina,1990,0.0,0.0,0.0,0.0,90074.0,66.0,8000.0,15.0
Argentina,1995,25000.0,0.0,0.0,0.0,375000.0,19.0,10000.0,6.0
Argentina,2000,3500.0,34.0,0.0,0.0,464447.0,50.0,8980.0,36.0
Argentina,2005,0.0,9.0,0.0,0.0,258628.0,19.0,276.0,21.0
Argentina,2010,0.0,42.0,0.0,0.0,367203.0,61.0,9542.0,23.0
Argentina,2015,0.0,0.0,11666.0,2.0,377450.0,18.0,5700.0,10.0
Argentina,2020,0.0,0.0,23366.0,6.0,443490.0,3.0,414276.0,14.0
Argentina,2025,0.0,0.0,0.0,0.0,236700.0,125.0,0.0,9.0
Armenia,1995,0.0,0.0,0.0,0.0,7144.0,4.0,0.0,0.0
Armenia,2000,0.0,0.0,297000.0,0.0,0.0,1.0,0.0,0.0
Armenia,2010,12000.0,0.0,0.0,0.0,0.0,0.0,64000.0,0.0
Armenia,2015,0.0,0.0,0.0,0.0,0.0,0.0,21600.0,0.0
Armenia,2020,0.0,0.0,0.0,0.0,429.0,4.0,20836.0,0.0
Armenia,2025,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,4.0
Asia,1900,0.0,0.0,0.0,1250000.0,0.0,0.0,0.0,600.0
Asia,1905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10412.0
Asia,1910,0.0,0.0,0.0,0.0,0.0,101379.0,500000.0,52000.0
Asia,1915,0.0,0.0,0.0,0.0,3635000.0,0.0,0.0,4300.0
Asia,1920,0.0,0.0,20000000.0,500000.0,0.0,0.0,1025000.0,105354.0
Asia,1925,0.0,0.0,0.0,3000000.0,2000.0,36.0,80010.0,8465.0
Asia,1930,0.0,0.0,0.0,0.0,3600000.0,3718000.0,2500.0,3238.0
Asia,1935,0.0,0.0,0.0,0.0,10030000.0,642933.0,150000.0,74490.0
Asia,1940,0.0,0.0,0.0,3400000.0,0.0,990.0,40000.0,111377.0
Asia,1945,0.0,0.0,0.0,0.0,0.0,59662.0,2491871.0,14172.0
Asia,1950,0.0,669.0,0.0,0.0,12230294.0,48454.0,4225975.0,10443.0
Asia,1955,0.0,651.0,0.0,0.0,363240.0,490286.0,15153470.0,20151.0
Asia,1960,0.0,400.0,1291000.0,0.0,3320421.0,1532660.0,9644645.0,54627.0
Asia,1965,0.0,100.0,103891998.0,1508000.0,34650330.0,10367.0,19746665.0,65904.0
Asia,1970,0.0,261.0,206080002.0,0.0,70892281.0,35459.0,21303460.0,323284.0
Asia,1975,0.0,634.0,21518491.0,63.0,130538924.0,29309.0,23573964.0,21077.0
Asia,1980,0.0,1119.0,126447554.0,510.0,161445009.0,21162.0,38240209.0,12762.0
Asia,1985,30207.0,1217.0,358739100.0,1784.0,272692389.0,21296.0,93600961.0,27349.0
Asia,1990,8450.0,1952.0,107112436.0,2000.0,563988239.0,21807.0,101067691.0,156214.0
Asia,1995,736180.0,3995.0,60171256.0,685.0,845370172.0,31090.0,95876571.0,28377.0
Asia,2000,256548.0,5850.0,547122590.0,195.0,544625334.0,16171.0,170886369.0,6994.0
Asia,2005,79424094.0,3035.0,69710110.0,134.0,350261686.0,20864.0,192092906.0,153048.0
Asia,2010,6085625.0,3032.0,134475492.0,0.0,427058426.0,23441.0,136701391.0,14697.0
Asia,2015,1575632.0,4963.0,402604838.0,88.0,207518614.0,13715.0,76879179.0,4990.0
Asia,2020,37501552.0,4559.0,54488410.0,0.0,145768044.0,18210.0,113766892.0,5009.0
Asia,2025,0.0,0.0,14500000.0,0.0,10772711.0,1924.0,15825616.0,449.0
Australia,1955,0.0,0.0,0.0,0.0,15000.0,25.0,0.0,0.0
Australia,1965,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0
Australia,1970,0.0,0.0,0.0,0.0,12000.0,53.0,45640.0,92.0
Australia,1975,0.0,0.0,0.0,0.0,10000.0,7.0,100.0,20.0
Australia,1980,0.0,0.0,80000.0,0.0,0.0,38.0,0.0,1.0
Australia,1985,0.0,0.0,0.0,0.0,0.0,33.0,1012.0,47.0
Australia,1990,4100684.0,22.0,4730905.0,0.0,27330.0,13.0,2873012.0,29.0
Australia,1995,500100.0,1.0,2269095.0,0.0,28801.0,25.0,1065272.0,22.0
Australia,2000,0.0,0.0,0.0,0.0,8691.0,8.0,4401.0,7.0
Australia,2005,2000.0,347.0,0.0,0.0,26700.0,26.0,38450.0,5.0
Australia,2010,0.0,139.0,0.0,0.0,202217.0,39.0,67339.0,8.0
Australia,2015,0.0,0.0,0.0,0.0,10780.0,10.0,59038.0,25.0
Australia,2020,0.0,0.0,0.0,0.0,274375.0,39.0,15427.0,12.0
Australia,2025,0.0,0.0,0.0,0.0,630.0,1.0,50000.0,5.0
Austria,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
Austria,1985,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
Austria,1990,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0
Austria,1995,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
Austria,2000,0.0,345.0,0.0,0.0,60000.0,9.0,300.0,3.0
